			lab	mc	case_agr	wh	copy	exnum
	[VP[V] [DP1$_{wh}$$_{A:case}$]]	0	0	0	1	1	0	1
[[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	[[T$_{case}$] [[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	0	1	1	0	0
	[[C] [[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	0	1	1	0	0
	[[DP2$_{A:case}$] [[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	0	1	1	0	0
	[[DP1$_{wh}$$_{A:case}$] [[v$_{case}$] [VP[V] [DPc]]]]	0	2	0	0	0	1	1
	[v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	1	0	0	2	2	0	0
	[[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	0	1	1	0	1
[v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	[[T$_{case}$] [v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	1	2	2	0	0
	[[C] [v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	1	2	2	0	0
	[[DP2$_{A:case}$] [v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	0	2	2	0	0
	[[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	1	1	0	0	0	2	1
	[v1P[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	0	0	2	2	0	1
[[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	[[T$_{case}$] [[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	2	0	0	0	2	0
	[[C] [[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	2	0	0	0	2	0
	[[DP2$_{A:case}$] [[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	2	0	0	0	2	0
	[[DP1$_{wh}$$_{A:case}$] [[DPc] [v1P[v] [VP[V] [DPc]]]]]	0	2	0	0	0	2	1
	[v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	1	0	0	1	1	2	0
	[[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	0	1	0	0	0	2	1
[v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	[[T$_{case}$] [v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	1	1	1	2	0
	[[C] [v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	1	1	1	2	0
	[[DP2$_{A:case}$] [v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	0	1	1	2	0
	[[DP1$_{wh}$$_{A:case}$] [v1P[DPc] [v1P[v] [VP[V] [DPc]]]]]	0	1	0	0	0	3	1
	[v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]	1	0	0	0	1	2	0
	[v1P[DP1$_{wh}$$_{A:case}$] [v1P[v] [VP[V] [DPc]]]]	0	0	0	1	1	2	1
[v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]	[[T$_{case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	1	0	1	2	0
	[[C] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	1	0	1	2	0
	[[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	1	1	0	0	1	2	0
	[[DP1$_{wh}$$_{A:case}$] [v1P[DPc] [v1P[v] [VP[V] [DPc]]]]]	0	1	0	0	0	3	1
	[v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]	0	0	0	0	1	2	1
[[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	[[T$_{case}$] [[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	2	0	0	1	2	0
	[[C] [[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	2	0	0	1	2	0
	[[DP2$_{A:case}$] [[DPc] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	2	0	0	1	2	1
	[[DP1$_{wh}$] [[DP2$_{A:case}$] [v1P[DPc] [v1P[v] [VP[V] [DPc]]]]]]	0	2	0	0	0	3	1
	[v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	1	0	0	1	2	3	0
	[[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	0	1	0	0	1	2	1
[v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	[[T$_{case}$] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	1	1	0	1	2	3	0
	[[C] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	1	1	1	2	3	0
	[[DP2$_{A:case}$] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	1	0	0	2	4	1
	[[DP1$_{wh}$] [v2P[DP2$_{A:case}$] [v1P[DPc] [v1P[v] [VP[V] [DPc]]]]]]	0	1	0	1	0	5	1
	[v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]	0	0	0	1	2	3	1
[[T$_{case}$] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	[[C] [[T$_{case}$] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]]	0	2	0	1	2	3	0
	[[DP2$_{A:case}$] [[T$_{case}$] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]]	0	2	0	0	2	4	1
	[[DP1$_{wh}$] [[T$_{case}$] [v2P[DP2$_{A:case}$] [v1P[DPc] [v1P[v] [VP[V] [DPc]]]]]]]	0	2	0	1	0	5	1
	[TP[T] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	1	0	0	2	3	4	0
	[[T$_{case}$] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P[v] [VP[V] [DPc]]]]]]	0	1	0	1	2	3	1
[TP[T] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P]]]]	[[C] [TP[T] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P]]]]]	0	1	0	2	3	0	0
	[[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	1	1	0	0	3	2	1
	[[DP1$_{wh}$] [TP[T] [v2P[DP2$_{A:case}$] [v1P[DPc] [v1P]]]]]	0	1	0	2	0	3	1
	[TP[T] [v2P[DP2$_{A:case}$] [v1P[DP1$_{wh}$] [v1P]]]]	0	0	0	2	3	0	1
[[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	[[C] [[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	2	0	0	3	2	0
	[[DP2$_{A:case}$] [[DPc] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	2	0	0	3	2	1
	[[DP1$_{wh}$] [[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]	0	2	0	0	0	5	1
	[TP[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	1	0	0	1	3	2	0
	[[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	0	1	0	0	3	2	1
[TP[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	[[C] [TP[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	1	0	1	3	2	0
	[[DP2$_{A:case}$] [TP[DPc] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	1	0	0	3	3	1
	[[DP1$_{wh}$] [TP[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]	0	1	0	1	0	5	1
	[TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	1	0	0	0	3	2	0
	[TP[DP2$_{A:case}$] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	0	0	0	1	3	2	1
[TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	[[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	1	1	0	0	3	2	0
	[[DP2$_{A:case}$] [TP[DPc] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	1	0	0	3	3	1
	[[DP1$_{wh}$] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]	0	1	0	0	0	5	1
	[TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]	0	0	0	0	3	2	1
[[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	[[DP2] [[C] [TP[DPc] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]]	0	2	0	0	3	3	0
	[[DP1$_{wh}$] [[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]	0	2	0	0	0	5	0
	[CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	1	0	0	0	4	3	0
	[[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	1	0	0	3	2	0
[CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	[[DP2] [CP[C] [TP[DPc] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]]	0	1	0	0	4	5	0
	[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]	1	1	0	0	0	7	0
	[CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DP1$_{wh}$] [v1P]]]]]]	0	0	0	0	4	3	0
[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]	[[DP1$_{wh}$] [[DPc] [CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]]	0	2	0	0	0	7	0
	[[DP2] [[DP1$_{wh}$] [CP[C] [TP[DPc] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]]	0	2	0	0	0	9	0
	[CP[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]	1	0	0	0	1	7	0
	[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [v2P[DPc] [v1P[DPc] [v1P]]]]]]]	0	1	0	0	0	7	0								
