			lab	mc	case_agr	wh	exnum
	[[DP2$_{A:case}$] [[DPc] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	2	3	2	2	1
	[[DP1$_{wh}$$_{A:case}$] [[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	0	2	2	0	0	1
	[[DP2] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	2	2	2	1
	[vP[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	1	0	2	3	2	1
	[[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	3	2	2	1
[vP[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	[[T] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	1	1	3	2	0
	[[C] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	1	2	3	2	0
	[[DP2$_{A:case}$] [vP[DPc] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	1	2	2	2	1
	[[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	1	1	2	1	0	1
	[vP[DP2] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	0	2	2	2	1
	[vP[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	0	3	3	2	1
[[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	[[T] [[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	2	2	1	0	0
	[[C] [[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	2	2	1	0	0
	[[DP1$_{wh}$$_{A:case}$] [[DPc] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	2	2	1	0	1
	[[DP2$_{A:case}$] [[DP1$_{wh}$$_{A:case}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]	0	2	2	0	0	1
	[[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	0	1	2	1	0	1
	[vP[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	1	0	2	2	1	1
	[[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	0	1	2	1	0	1
[vP[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	[[T] [vP[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	1	2	1	0
	[[C] [vP[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	2	1	0
	[[DP1$_{wh}$$_{A:case}$] [vP[DPc] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	1	0	1
	[[DP2$_{A:case}$] [vP[DP1$_{wh}$$_{A:case}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	1	1	1
	[vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	1	0	2	1	1	1
	[vP[DP1$_{wh}$$_{A:case}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	0	0	2	2	1	1
[vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	[[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	1	1	1	1	1	0
	[[C] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	1	1	0
	[[DP1$_{wh}$$_{A:case}$] [vP[DPc] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	1	0	1
	[[DP2$_{A:case}$] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]	0	1	2	0	1	1
	[vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]	0	0	2	1	1	1
[[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	[[C] [[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]]	0	2	1	1	1	0
	[[DP1$_{wh}$] [[T] [vP[DPc] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]]	0	2	1	1	0	1
	[[DP2$_{A:case}$] [[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	0	2	1	0	1	1
	[TP[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	1	0	1	2	2	1
	[[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	1	1	1	1	1
[TP[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	[[C] [TP[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]]	0	1	0	2	2	0
	[[DP1$_{wh}$] [TP[T] [vP[DPc] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]]	0	1	1	2	0	1
	[[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	1	1	1	0	2	1
	[TP[T] [vP[DP1$_{wh}$] [vP[DP2$_{A:case}$] [vP[v] [VP[V] [DPc]]]]]]	0	0	1	2	2	1
[[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	[[C] [[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	2	1	0	2	0
	[[DP2$_{A:case}$] [[DPc] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	2	1	0	2	1
	[[DP1$_{wh}$] [[DP2$_{A:case}$] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	2	1	0	0	1
	[[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	0	1	1	0	2	1
	[TP[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	1	0	1	1	2	1
	[[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	0	1	1	0	2	1
[TP[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	[[C] [TP[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	0	1	2	0
	[[DP2$_{A:case}$] [TP[DPc] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	1	0	2	1
	[[DP1$_{wh}$] [TP[DP2$_{A:case}$] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	1	1	0	1
	[TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	1	0	1	0	2	1
	[TP[DP2$_{A:case}$] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	0	0	1	1	2	1
[TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	[[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	1	1	0	0	2	0
	[[DP2$_{A:case}$] [TP[DPc] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	1	0	2	1
	[[DP1$_{wh}$] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	1	0	0	1
	[TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]	0	0	1	0	2	1
[[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	[[DP2] [[C] [TP[DPc] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	0	2	0	0	2	0
	[[DP1$_{wh}$] [[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	0	2	0	0	0	0
	[CP[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	1	0	0	0	3	0
	[[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	1	0	0	2	0
[CP[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	[[DP2] [CP[C] [TP[DPc] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	0	1	0	0	3	0
	[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	1	1	0	0	0	0
	[CP[C] [TP[DP2] [TP[T] [vP[DP1$_{wh}$] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]	0	0	0	0	3	0
[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	[[DP1$_{wh}$] [[DPc] [CP[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]]	0	2	0	0	0	0
	[[DP2] [[DP1$_{wh}$] [CP[C] [TP[DPc] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]]	0	2	0	0	0	0
	[CP[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	1	0	0	0	1	0
	[[DP1$_{wh}$] [CP[C] [TP[DP2] [TP[T] [vP[DPc] [vP[DPc] [vP[v] [VP[V] [DPc]]]]]]]]]	0	1	0	0	0	0
							
